time,temperature_2m_mean,relative_humidity_2m_mean,vapor_pressure_deficit_max,soil_temperature_0_to_7cm_mean,soil_moisture_0_to_7cm_mean,rain_sum
1941-01-05,20.1,74.0,1.28,23.0,0.067,3.9
1941-01-06,24.9,58.0,2.99,26.6,0.069,0.1
1941-01-07,23.3,62.0,2.54,26.8,0.056,0.0
1941-01-08,22.1,79.0,1.48,24.9,0.055,1.4
1941-01-09,21.1,82.0,1.07,23.8,0.065,1.5
1941-01-10,22.0,72.0,1.78,25.1,0.06,0.0
1941-01-11,22.2,71.0,2.24,26.0,0.052,0.0
1941-01-12,23.9,75.0,2.52,27.4,0.047,0.0
1941-01-13,23.4,78.0,1.61,27.5,0.046,0.0
1941-01-14,22.8,77.0,2.03,27.2,0.044,0.0
1941-01-15,22.8,74.0,2.03,27.1,0.044,0.0
1941-01-16,26.2,63.0,3.26,29.3,0.042,0.0
1941-01-17,23.1,74.0,2.1,27.9,0.041,0.0
1941-01-18,20.6,73.0,1.61,26.1,0.04,0.0
1941-01-19,20.4,75.0,1.61,24.8,0.04,0.1
1941-01-20,22.9,69.0,1.98,26.2,0.041,0.0
1941-01-21,24.4,65.0,2.21,28.0,0.04,0.0
1941-01-22,23.0,67.0,2.14,27.3,0.04,0.0
1941-01-23,23.5,66.0,2.31,27.2,0.04,0.0
1941-01-24,21.6,78.0,1.29,25.5,0.04,0.2
1941-01-25,22.2,75.0,2.22,26.0,0.039,0.0
1941-01-26,23.7,66.0,2.53,27.5,0.039,0.0
1941-01-27,22.0,64.0,2.14,26.0,0.039,0.0
1941-01-28,21.1,69.0,2.03,25.3,0.039,0.0
1941-01-29,25.4,49.0,3.88,28.2,0.038,0.0
1941-01-30,28.5,34.0,4.84,30.9,0.037,0.0
1941-01-31,25.5,46.0,3.54,29.9,0.036,0.0
1941-02-01,23.3,68.0,2.25,27.6,0.038,0.8
1941-02-02,21.1,75.0,1.64,26.4,0.043,0.0
1941-02-03,19.8,74.0,1.16,23.6,0.045,0.6
1941-02-04,22.1,62.0,2.12,25.2,0.045,0.0
1941-02-05,23.4,67.0,2.38,26.5,0.043,0.0
1941-02-06,22.2,72.0,1.79,26.5,0.043,0.0
1941-02-07,19.9,79.0,1.22,24.8,0.041,0.0
1941-02-08,19.3,74.0,1.54,24.0,0.04,0.2
1941-02-09,19.6,78.0,1.01,23.3,0.056,2.1
1941-02-10,19.6,71.0,1.53,23.1,0.056,0.0
1941-02-11,23.1,62.0,1.95,25.5,0.051,0.0
1941-02-12,21.2,78.0,1.85,25.4,0.051,1.4
1941-02-13,20.1,85.0,1.11,23.2,0.081,2.5
1941-02-14,18.7,80.0,1.27,22.5,0.077,0.1
1941-02-15,18.3,76.0,1.33,22.0,0.067,0.0
1941-02-16,18.7,63.0,1.6,22.1,0.06,0.0
1941-02-17,18.7,78.0,1.35,21.9,0.057,0.0
1941-02-18,19.2,75.0,1.4,22.2,0.054,0.0
1941-02-19,20.9,72.0,1.88,23.5,0.05,0.0
1941-02-20,23.1,70.0,2.59,25.8,0.047,0.0
1941-02-21,21.8,80.0,1.21,24.9,0.045,0.0
1941-02-22,24.7,63.0,2.6,27.1,0.043,0.0
1941-02-23,21.5,75.0,1.22,25.7,0.043,0.0
1941-02-24,22.2,75.0,1.51,25.0,0.043,0.2
1941-02-25,22.9,71.0,1.85,25.7,0.043,0.0
1941-02-26,23.9,68.0,1.95,26.8,0.044,0.2
1941-02-27,21.9,78.0,1.61,25.7,0.045,0.0
1941-02-28,21.3,74.0,1.5,24.4,0.045,0.0
1941-03-01,21.7,63.0,2.11,24.3,0.043,0.0
1941-03-02,21.3,60.0,2.4,24.4,0.043,0.0
1941-03-03,20.0,72.0,1.78,23.5,0.043,0.0
1941-03-04,19.3,77.0,1.32,22.7,0.043,0.0
1941-03-05,17.2,54.0,1.42,21.1,0.043,0.0
1941-03-06,17.6,59.0,1.81,21.5,0.043,0.0
1941-03-07,17.0,70.0,1.16,19.2,0.043,0.5
1941-03-08,17.2,60.0,1.43,20.6,0.043,0.0
